Descripcion ; Codigo

"ACTIVO";1
"BAJA PROPIA SOLICITUD";2
"BAJA POR EXPULSION";3
"JUBILADO";4
"REPOSO INDEFINIDO";5
"SUSPENDIDO CON SUELDO";6
"SUSPENDIDO SIN SUELDO";7
"ALUMNO";8
"DESTITUCION";9
"PENSION ESPECIAL SOBREVIVIENTE";10
"FALLECIDO SIN PAGO";11
"BAJA POR DECRETO DEL EJECUTIVO";12
"BAJA RESOLUCION INTERNA";13
"FALLECIDO CON PAGO";14
"PREJUBILADO";15
"PROFESIONALES DE LA SALUD";16
"PENSION POR INCAPACIDAD 67%";17
"CONTRATADO";18
"ACTO ADMINISTRATIVO DE RETIRO";19
"RETIRO VOLUNTARIO";20
"PERDIDA DE LA NACIONALIDAD";21
"INTERDICCION CIVIL";22
"REDUCCION DE PERSONAL";23
"PENSION ESPECIAL POR INVALIDEZ";24
"INCAPACIDAD 67% CON PAGO";25
"VEJEZ";26
"LICENCIA ESPECIAL";27
"CASOS ESPECIALES";28
"DESTACADO";29
"ACTIVO (CON LIMITACIONES)";30
"REPOSO CONTINUO";31
"SIN CARGO";32
"LICENCIA AÑOS DE SERVICIO";33
"ACTIVO (ADECUACION LABORAL)";34
"ACTIVO (VACACIONES)";35
"CASO ESPECIAL INCAPACIDAD RESIDUAL 67%";36
"ACTIVO (COMISION DE SERVICIO)";37
"DESTACADO (CON LIMITACIONES)";38
"SUSPENDIDO";39
"SUSPENDIDO EN ESPERA DE OFICIO DE LA ICAP";40
"AVERIGUACION ICAP";41
"PROCESO JUDICIAL";42
"PERMISO PRE Y POST NATAL";43
"PERMISO NO REMUNERADO";44
"SUSPENDIDO Y PRIVADO DE LIBERTAD";45
"REPOSO POR EMBARAZO";46
"ACTIVO (PROCESO JUDICIAL)";47
"BAJA POR JUBILACION";48
"BAJA POR PENSION";49
"PERMISO REMUNERADO";51
"AUSENTE";52
